nama,alamat
Darussunnah,"Jl. Kemangsari IV, Kavling Auri No. 2, RT 001/RW 011, Jatibening Baru, Kec. Pondok Gede, Kota Bekasi"
MTs Al Jauhariyah,"Jl. Madrasah No. 1, Klender, Kec. Duren Sawit, Kota Jakarta Timur"
MTs Al Washliya,"Jl. Pondok Kopi Timur No. 1, RT 008/RW 011, Pondok Kopi, Kec. Duren Sawit, Kota Jakarta Timur"
MTs Al Washliyah,"Jalan Pondok Kopi Timur No 01 RT 008 RW 011 Kelurahan Pondok Kopi Kecamatan Duren Sawit"
MTs Al Wathoniyah 5,"Jl. Raya Penggilingan No. 15, RT 003/RW 006, Penggilingan, Kec. Cakung"
MTs Al Wathoniyah 8,"Jl. Peron No. 49, RT 001/RW 003, Klender, Kec. Duren Sawit"
MTs Negeri 28 Jakarta,"Jl. Pondok Ranggon RT 001/RW 001, Pondok Ranggon, Kec. Cipayung, Kota Jakarta Timur"
MTs Negeri 9 Jakarta,"Jl. Pahlawan Komarudin, RT 002/RW 003, Penggilingan, Kec. Cakung, Kota Jakarta Timur"
MTs Raudlatul Falah,"jalan rawadas gang madrasah II Nomor 55 RT 007 RW 003 Pondok kopi duren sawit"
MTs. Al Walihliyah,"Jl. Bojong Rangkong (Jl. Pondok Kopi Timur) No.1, RT.8/RW.11, Pondok Kopi, Kec. Duren Sawit, Kota Jakarta Timur 13460"
MTs. Al-Wathoniyah 2,"Jl. H. Sidin 1 No.II No.42, RT.3/RW.7, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur 13440"
MTs. Ziyadatul Huda,"JL. PONDOK KELAPA SELATAN, RT.011/RW.005, PONDOK KELAPA, DUREN SAWIT, JAKARTA TIMUR"
MTsN 21 Jakarta,"Jalan Padat Karya III"
MTsS Al Wathoniyah I A,"Jl. Raya Penggilingan No. 14, RT 001/RW 007, Penggilingan, Kec. Cakung, Kota Jakarta Timur"
MTsS Darul Ahkam,"Jl. Babakan RT 001/RW 005, Ds. Warnajati, Kec. Cibadak, Kab. Sukabumi"
